Clothing_Spend_per_Month,Food_Type,Housing_Type,Energy_Usage_kWh_per_Month,Water_Usage_Liters_per_Day,Transportation_Mode,Consumption_Spend_per_Month,Recycling_Habits,Carbon_Emissions_kgCO2
1360,Non-Vegetarian,Apartment,478,277,Public_Transport,4136,Always,369.63
4272,Vegan,Own_House,69,151,Bicycle,4318,Always,158.86
3592,Vegetarian,Shared_House,322,124,Car,3782,Always,357.03
966,Non-Vegetarian,Shared_House,168,466,Public_Transport,8657,Never,247.745
4926,Vegetarian,Apartment,120,495,Walking,5920,Never,218.61
3944,Mixed,Apartment,53,265,Bicycle,7324,Never,180.81
3671,Non-Vegetarian,Dormitory,270,456,Car,7327,Always,378.645
3419,Vegetarian,Apartment,63,448,Car,9417,Sometimes,282.675
630,Vegetarian,Dormitory,52,460,Public_Transport,1776,Never,124.18
2185,Vegan,Dormitory,265,252,Car,6208,Never,332.99
1269,Vegetarian,Shared_House,278,241,Public_Transport,1687,Never,239.675
2891,Non-Vegetarian,Shared_House,385,298,Public_Transport,1529,Sometimes,323.95500000000004
2933,Non-Vegetarian,Own_House,235,291,Bicycle,6067,Never,281.71500000000003
1684,Vegan,Shared_House,104,228,Bicycle,9080,Sometimes,160.64
3885,Non-Vegetarian,Shared_House,437,486,Walking,6518,Never,381.74
4617,Mixed,Apartment,425,268,Bicycle,3153,Sometimes,345.335
3404,Non-Vegetarian,Shared_House,303,131,Bicycle,7094,Never,295.06
974,Non-Vegetarian,Own_House,73,141,Public_Transport,7974,Always,190.66
1582,Vegetarian,Apartment,211,484,Bicycle,5774,Always,216.89
3058,Vegetarian,Own_House,207,224,Public_Transport,8692,Always,266.24
2547,Non-Vegetarian,Shared_House,131,288,Public_Transport,4103,Always,200.885
3247,Vegan,Own_House,452,309,Bicycle,3440,Never,356.12
1475,Vegetarian,Apartment,208,440,Walking,5135,Always,208.925
2306,Vegan,Dormitory,237,414,Walking,8124,Sometimes,230.38
689,Non-Vegetarian,Own_House,109,212,Car,6201,Always,280.495
3234,Non-Vegetarian,Own_House,452,97,Car,1844,Always,449.9100000000001
3505,Mixed,Apartment,354,378,Bicycle,1446,Always,290.68
2399,Vegetarian,Apartment,368,377,Walking,4915,Never,306.415
1767,Non-Vegetarian,Own_House,415,165,Public_Transport,4109,Always,351.46500000000003
2028,Mixed,Shared_House,260,478,Car,2234,Sometimes,335.35
3702,Vegetarian,Own_House,455,386,Public_Transport,7587,Always,399.255
4056,Non-Vegetarian,Apartment,201,386,Car,1226,Always,328.99
4390,Non-Vegetarian,Dormitory,158,418,Bicycle,5143,Always,217.015
1146,Vegetarian,Dormitory,125,274,Walking,8185,Sometimes,161.085
3388,Vegetarian,Shared_House,79,401,Car,6558,Always,261.22
2935,Vegetarian,Own_House,363,377,Walking,1186,Sometimes,298.13
1100,Non-Vegetarian,Dormitory,166,196,Public_Transport,3535,Sometimes,193.975
2863,Non-Vegetarian,Own_House,464,112,Bicycle,2932,Always,358.39000000000004
2561,Mixed,Apartment,405,343,Walking,3032,Sometimes,317.92
741,Vegan,Dormitory,241,372,Bicycle,2252,Never,192.77
2541,Vegetarian,Shared_House,68,492,Walking,6509,Always,151.555
3324,Non-Vegetarian,Apartment,481,374,Public_Transport,6074,Always,405.31
3112,Non-Vegetarian,Shared_House,222,62,Public_Transport,2881,Sometimes,239.625
1863,Vegetarian,Apartment,277,480,Bicycle,1269,Sometimes,234.975
1978,Vegan,Dormitory,399,238,Public_Transport,2630,Always,286.83000000000004
3056,Vegetarian,Shared_House,232,336,Car,5405,Never,337.885
1275,Vegan,Shared_House,162,257,Walking,7139,Sometimes,177.295
4514,Non-Vegetarian,Apartment,232,163,Public_Transport,2574,Sometimes,269.66
534,Vegan,Shared_House,195,71,Car,2695,Never,262.365
3652,Mixed,Apartment,368,398,Bicycle,4258,Never,326.71000000000004
2455,Non-Vegetarian,Apartment,165,263,Car,4262,Always,304.01
2085,Mixed,Apartment,162,220,Bicycle,2445,Never,190.075
4443,Vegetarian,Apartment,300,372,Bicycle,7263,Always,291.845
3573,Vegetarian,Dormitory,300,103,Walking,9411,Never,277.93500000000006
1521,Vegetarian,Apartment,352,443,Walking,1052,Sometimes,266.12
3961,Vegan,Own_House,362,347,Car,6570,Always,423.31
3113,Non-Vegetarian,Shared_House,167,369,Walking,8579,Always,230.975
4343,Vegetarian,Own_House,350,175,Walking,2666,Always,298.01
2000,Vegetarian,Dormitory,210,326,Walking,7901,Never,220.805
661,Non-Vegetarian,Own_House,450,253,Car,3785,Sometimes,445.685
4797,Vegetarian,Shared_House,247,243,Public_Transport,1719,Always,247.215
2481,Mixed,Own_House,309,218,Walking,9597,Always,305.695
1495,Non-Vegetarian,Dormitory,197,201,Walking,7855,Always,210.275
3842,Non-Vegetarian,Apartment,289,84,Car,3294,Always,366.09
4298,Non-Vegetarian,Own_House,96,233,Public_Transport,9263,Sometimes,251.445
1775,Mixed,Dormitory,448,335,Walking,5482,Never,335.91
1516,Non-Vegetarian,Dormitory,247,106,Bicycle,1698,Sometimes,204.95
837,Mixed,Shared_House,96,271,Car,8243,Always,256.135
1378,Non-Vegetarian,Shared_House,127,352,Walking,6918,Sometimes,189.47
1576,Vegan,Own_House,173,212,Walking,1348,Always,172.10000000000002
4493,Vegetarian,Apartment,124,68,Bicycle,6374,Never,197.2
879,Vegan,Dormitory,408,419,Bicycle,8869,Never,313.08500000000004
